S.NO,Name,Nationality,Current Rank,Previous Year Rank,Sport,Year,earnings ($ million),date
1,Mike Tyson,USA,1,,Boxing,1990,28.6,8/22/2021
2,Buster Douglas,USA,2,,Boxing,1990,26,2/15/2021
3,Sugar Ray Leonard,USA,3,,Boxing,1990,13,3/28/2019
4,Ayrton Senna,Brazil,4,,Racing,1990,10,6/6/2020
5,Alain Prost,France,5,,Racing,1990,9,2/25/2019
6,Jack Nicklaus,USA,6,,Golf,1990,8.6,4/24/2021
7,Greg Norman,Australia,7,,Golf,1990,8.5,6/12/2021
8,Michael Jordan,USA,8,,NBA,1990,8.1,1/10/2022
9,Arnold Palmer,USA,8,,Golf,1990,8.1,5/17/2022
10,Evander Holyfield,USA,8,,Boxing,1990,8.1,3/17/2021
11,Evander Holyfield,USA,1,8,Boxing,1991,60.5,10/12/2019
12,Mike Tyson,USA,2,1,Boxing,1991,31.5,2/6/2022
13,Michael Jordan,USA,3,8,NBA,1991,16,1/6/2022
14,George Foreman,USA,4,>30,Boxing,1991,14.5,8/29/2022
15,Ayrton Senna,Brazil,5,4,Racing,1991,13,7/31/2021
16,Alain Prost,France,6,5,Racing,1991,11,1/16/2019
17,"Donovan ""Razor"" Ruddock",Canada,7,>30,Boxing,1991,10.2,6/27/2021
18,Arnold Palmer,USA,8,8,Golf,1991,9.3,9/1/2022
19,Nigel Mansell,UK,9,12,Racing,1991,9,8/3/2019
20,Sugar Ray Leonard,USA,10,6,Golf,1991,8.5,4/29/2022
21,Michael Jordan,USA,1,3,NBA,1992,35.9,12/5/2018
22,Evander Holyfield,USA,2,1,Boxing,1992,28,1/17/2021
23,Ayrton Senna,Brazil,3,5,Racing,1992,22,11/20/2019
24,Nigel Mansell,UK,4,9,Racing,1992,14.5,6/24/2022
25,Arnold Palmer,USA,5,8,Golf,1992,11.1,10/24/2020
26,Andre Agassi,USA,6,17,Tennis,1992,11,6/30/2019
27,Joe Montana,USA,7,13,NFL,1992,9.5,4/2/2022
28,Sugar Ray Leonard,USA,8,10,Golf,1992,9.2,7/22/2022
29,Jim Courier,USA,9,>40,Tennis,1992,9,2/5/2019
30,Monica Seles,USA,10,12,Tennis,1992,8.5,10/1/2021
31,Michael Jordan,USA,1,1,NBA,1993,36,11/14/2020
32,Riddick Bowe,USA,2,>40,Boxing,1993,25,1/24/2022
33,Ayrton Senna,Brazil,3,3,Racing,1993,18.5,6/10/2021
34,Alain Prost,France,4,>40,Racing,1993,16,11/28/2022
35,George Foreman,USA,5,19,Boxing,1993,15.8,1/31/2022
36,Shaquille O'Neal,USA,6,>40,NBA,1993,15.2,4/8/2020
37,Lennox Lewis,USA,7,>40,Boxing,1993,15,4/5/2019
38,Cecil Fielder,USA,8,40,MLB,1993,12.7,6/22/2019
39,Jim Courier,USA,9,9,Tennis,1993,12.6,6/30/2022
40,Joe Montana,USA,10,7,NFL,1993,11.5,11/24/2018
41,Michael Jordan,USA,1,1,NBA,1994,30,1/31/2022
42,Shaq O'Neal,USA,2,6,NBA,1994,16.7,3/26/2020
43,Jack Nicklaus,USA,3,13,Golf,1994,14.8,11/6/2021
44,Arnold Palmer,USA,4,11,Golf,1994,13.6,2/12/2019
45,Gerhard Berger,Austria,5,30,Racing,1994,13.5,5/25/2022
46,Wayne Gretzky,Canada,5,22,NHL,1994,13.5,8/25/2021
47,Michael Moorer,USA,7,>40,Boxing,1994,12.1,7/19/2022
48,Evander Holyfield,USA,8,12,Boxing,1994,12,5/15/2019
49,Andre Agassi,USA,9,20,Tennis,1994,11.4,8/14/2020
50,Nigel Mansell,UK,10,19,Racing,1994,11.3,6/7/2019
51,Michael Jordan,USA,1,1,NBA,1995,43.9,12/11/2018
52,Mike Tyson,USA,2,not ranked,Boxing,1995,40,9/7/2022
53,Deion Sanders,USA,3,38,NFL,1995,22.5,9/10/2019
54,Riddick Bowe,USA,4,not ranked,Boxing,1995,22.2,11/17/2022
55,Shaquille O'Neal,USA,5,2,NBA,1995,21.9,5/2/2019
56,George Foreman,USA,6,15,Boxing,1995,18,1/12/2019
57,Andre Agassi,USA,7,9,Tennis,1995,16,5/15/2019
58,Sugar Ray Leonard,USA,8,3,Golf,1995,15.1,7/10/2019
59,Michael Schumacher,Germany,9,30,Racing,1995,15,9/27/2019
60,Wayne Gretzky,Canada,10,5,NHL,1995,14.5,12/8/2019
61,Mike Tyson,USA,1,2,Boxing,1996,75,1/13/2021
62,Michael Jordan,USA,2,1,NBA,1996,52.6,5/23/2021
63,Michael Schumacher,Germany,3,9,Racing,1996,33,11/5/2020
64,Shaquille O'Neal,USA,4,5,NBA,1996,24.4,5/19/2020
65,Emmit Smith,USA,5,not ranked,NFL,1996,16.5,7/7/2022
66,Evander Holyfield,USA,6,14,Boxing,1996,15.5,10/5/2019
67,Andre Agassi,USA,7,7,Tennis,1996,15.2,3/19/2020
68,Arnold Palmer,USA,8,11,Golf,1996,15.1,11/10/2021
69,Dennis Rodman,USA,9,not ranked,NBA,1996,12.9,4/17/2022
70,Patrick Ewing,USA,9,19,NBA,1996,12.9,10/22/2019
71,Michael Jordan,USA,1,2,NBA,1997,78.3,8/7/2020
72,Evander Holyfield,USA,2,6,Boxing,1997,54.3,11/26/2018
73,Oscar De La Hoya,USA,3,17,Boxing,1997,38,1/10/2020
74,Michael Schumacher,Germany,4,3,Racing,1997,35,8/19/2020
75,Mike Tyson,USA,5,1,Boxing,1997,27,5/16/2020
76,Tiger Woods,USA,6,26,Golf,1997,26.1,7/12/2019
77,Shaquille O'Neal,USA,7,4,NBA,1997,25.4,2/21/2020
78,Dale Earnhardt,USA,8,20,Racing,1997,19.1,6/9/2019
79,Joe Sakic,Canada,9,none,NHL,1997,17.9,12/11/2021
80,Grant Hill,USA,10,18,NBA,1997,17,8/10/2021
81,Michael Jordan,USA,1,,NBA,1998,69,5/7/2021
82,Michael Schumacher,Germany,2,,Racing,1998,38,4/18/2022
83,Sergei Federov,Russia,3,,NHL,1998,29.8,1/25/2019
84,Tiger Woods,USA,4,,Golf,1998,26.8,7/31/2021
85,Dale Earnhardt,USA,5,,Racing,1998,24.1,3/19/2019
86,Grant Hill,USA,6,,NBA,1998,21.6,3/22/2020
87,Oscar De La Hoya,USA,7,,Boxing,1998,18.5,12/11/2019
88,Patrick Ewing,USA,8,,NBA,1998,18.3,4/12/2020
89,Arnold Palmer,USA,9,,Golf,1998,18.1,1/7/2019
90,Gary Sheffield,USA,10,,MLB,1998,17.2,8/10/2020
